,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Team,Score
629,0.48979591836734926,0.5755395683453233,0.6293103448275859,0.4951456310679614,0.44217687074829937,0.46315789473684205,0.4695121951219512,0.5378787878787876,0.5219780219780219,0.49350649350649345,0.3307086614173228,0.2899408284023668,0.558659217877095,0.3437500000000001,0.4219653179190752,0.4720496894409938,0.27142857142857135,0.46153846153846145,0.3965517241379311,0.5063291139240507,0.44761904761904736,0.5366492146596862,2015,PHO,0.0
683,0.4285714285714306,0.4244604316546763,0.40948275862068995,0.5242718446601939,0.2448979591836735,0.23947368421052628,0.4695121951219512,0.6060606060606064,0.6126373626373627,0.40909090909090917,0.7952755905511811,0.7514792899408285,0.569832402234637,0.3437500000000001,0.48554913294797664,0.5341614906832297,0.2785714285714287,0.18461538461538463,0.2758620689655173,0.658227848101266,0.3904761904761902,0.5078534031413611,2015,SAC,0.0
764,0.06122448979591866,0.33093525179856087,0.3448275862068968,0.4466019417475726,0.3673469387755103,0.3763157894736842,0.4817073170731707,0.3636363636363633,0.4285714285714286,0.4220779220779223,0.3779527559055119,0.4082840236686389,0.34078212290502785,0.45833333333333337,0.4046242774566473,0.5217391304347827,0.25,0.32307692307692304,0.6206896551724139,0.5316455696202533,0.2571428571428569,0.3455497382198951,2015,UTA,0.0
153,0.4285714285714306,0.5683453237410072,0.5517241379310343,0.5728155339805827,0.5918367346938775,0.5842105263157895,0.597560975609756,0.3636363636363633,0.3434065934065935,0.6038961038961039,0.3228346456692913,0.30177514792899407,0.49162011173184395,0.3125000000000001,0.5202312138728322,0.5527950310559007,0.44999999999999996,0.18461538461538463,0.25862068965517243,0.31645569620253156,0.35238095238095224,0.5863874345549736,2016,CLE,5.0
261,0.48979591836734926,0.8417266187050356,0.693965517241379,0.8349514563106792,0.7551020408163266,0.6368421052631579,0.9268292682926831,0.47727272727272707,0.37912087912087933,0.6948051948051952,0.35433070866141725,0.3076923076923077,0.575418994413408,0.2500000000000001,0.653179190751445,0.658385093167702,0.8928571428571428,0.4461538461538461,0.6379310344827587,0.5189873417721518,0.3904761904761902,0.8638743455497386,2016,GSW,4.0
536,0.36734693877551194,0.7410071942446042,0.6551724137931036,0.7281553398058254,0.4285714285714286,0.4289473684210526,0.5182926829268293,0.7424242424242422,0.5686813186813189,0.668831168831169,0.5905511811023622,0.5088757396449703,0.6815642458100561,0.5729166666666666,0.6184971098265897,0.8074534161490683,0.47142857142857153,0.2923076923076924,0.6034482758620692,0.6075949367088607,0.38095238095238093,0.7408376963350785,2016,OKC,3.0
738,0.24489795918367463,0.4244604316546763,0.43534482758620685,0.4854368932038833,0.44897959183673464,0.4210526315789473,0.646341463414634,0.3712121212121211,0.4423076923076923,0.4025974025974026,0.6771653543307087,0.5976331360946745,0.6536312849162011,0.27083333333333337,0.4797687861271678,0.4844720496894408,0.16428571428571437,0.3538461538461537,0.5344827586206897,0.25316455696202533,0.2857142857142856,0.5445026178010473,2016,TOR,3.0
20,0.36734693877551194,0.5611510791366907,0.5689655172413794,0.5533980582524274,0.5374149659863946,0.5526315789473684,0.5243902439024388,0.4242424242424243,0.3901098901098903,0.5909090909090913,0.26771653543307095,0.20118343195266264,0.6871508379888271,0.07291666666666685,0.5144508670520229,0.40372670807453437,0.6571428571428573,0.5538461538461539,0.6034482758620692,0.49367088607594933,0.23809523809523792,0.5471204188481673,2016,ATL,2.0
423,0.36734693877551194,0.5467625899280573,0.4525862068965516,0.6699029126213594,0.2789115646258503,0.2789473684210526,0.4390243902439026,0.6969696969696968,0.5961538461538463,0.5649350649350651,0.3858267716535434,0.37869822485207094,0.46927374301675995,0.22916666666666685,0.5433526011560692,0.5279503105590062,0.3142857142857145,0.18461538461538463,0.7068965517241381,0.379746835443038,0.16190476190476177,0.47382198952879584,2016,MIA,2.0
657,0.3061224489795933,0.5611510791366907,0.6336206896551726,0.47572815533980606,0.5782312925170068,0.5552631578947369,0.646341463414634,0.3787878787878789,0.42582417582417587,0.44805194805194803,0.4094488188976376,0.37869822485207094,0.525139664804469,0.41666666666666663,0.5202312138728322,0.6149068322981366,0.3500000000000001,0.21538461538461529,0.37931034482758624,0.4430379746835442,0.4857142857142853,0.6073298429319371,2016,POR,2.0
711,0.06122448979591866,0.6690647482014387,0.5043103448275863,0.8058252427184467,0.34013605442176875,0.2921052631578947,0.6768292682926831,0.7651515151515156,0.6181318681318684,0.6103896103896105,0.3307086614173228,0.22485207100591698,0.7988826815642462,0.1875000000000001,0.5549132947976878,0.5155279503105588,0.5785714285714287,0.4307692307692308,0.6034482758620692,0.25316455696202533,0.08571428571428541,0.5654450261780104,2016,SAS,2.0
47,0.24489795918367463,0.6043165467625897,0.7758620689655173,0.3689320388349513,0.45578231292517,0.49210526315789477,0.4329268292682926,0.5606060606060606,0.5824175824175826,0.4025974025974026,0.49606299212598437,0.4082840236686389,0.7150837988826821,0.41666666666666663,0.48554913294797664,0.5776397515527947,0.5571428571428572,0.5692307692307692,0.310344827586207,0.3291139240506329,0.5047619047619043,0.6230366492146597,2016,BOS,1.0
82,0.4285714285714306,0.4460431654676258,0.5689655172413794,0.3689320388349513,0.5850340136054422,0.5789473684210527,0.597560975609756,0.25,0.35989010989010994,0.3766233766233764,0.5118110236220471,0.4201183431952662,0.7262569832402241,0.14583333333333337,0.5838150289017339,0.5155279503105588,0.37857142857142856,0.2769230769230768,0.5,0.1898734177215189,0.1428571428571428,0.5628272251308903,2016,CHO,1.0
180,0.816326530612244,0.4748201438848918,0.5560344827586206,0.41747572815534006,0.5306122448979592,0.5578947368421052,0.48780487804878025,0.3333333333333335,0.3763736263736266,0.4805194805194808,0.4330708661417323,0.3372781065088757,0.7486033519553073,0.16666666666666663,0.5202312138728322,0.4658385093167703,0.40714285714285725,0.19999999999999996,0.22413793103448282,0.21518987341772156,0.2761904761904759,0.5340314136125652,2016,DAL,1.0
234,0.48979591836734926,0.5107913669064743,0.6551724137931036,0.3689320388349513,0.47619047619047616,0.4947368421052631,0.49390243902439024,0.43939393939393945,0.502747252747253,0.38311688311688297,0.3858267716535434,0.5266272189349113,0.04469273743016755,0.5104166666666669,0.5202312138728322,0.664596273291925,0.2142857142857142,0.23076923076923084,0.22413793103448282,0.30379746835443044,0.2285714285714282,0.5261780104712042,2016,DET,1.0
288,0.36734693877551194,0.49640287769784175,0.5301724137931032,0.4951456310679614,0.5918367346938775,0.6184210526315788,0.5060975609756098,0.2954545454545454,0.293956043956044,0.6038961038961039,0.6456692913385825,0.7573964497041419,0.18994413407821176,0.38541666666666685,0.3930635838150289,0.4658385093167703,0.41428571428571437,0.6923076923076923,0.4827586206896553,0.6075949367088607,0.49523809523809526,0.6439790575916229,2016,HOU,1.0
315,0.48979591836734926,0.5395683453237408,0.603448275862069,0.47572815533980606,0.41496598639455784,0.4105263157894737,0.5304878048780488,0.5378787878787876,0.554945054945055,0.4220779220779223,0.4094488188976376,0.3668639053254439,0.581005586592179,0.2812500000000001,0.5202312138728322,0.5341614906832297,0.34285714285714297,0.5384615384615383,0.41379310344827597,0.4810126582278482,0.32380952380952355,0.5314136125654452,2016,IND,1.0
342,0.36734693877551194,0.5395683453237408,0.48275862068965525,0.6213592233009715,0.5238095238095238,0.5078947368421052,0.6097560975609755,0.4166666666666665,0.37912087912087933,0.5974025974025978,0.4724409448818897,0.5680473372781065,0.1787709497206702,0.1250000000000001,0.48554913294797664,0.3975155279503104,0.4571428571428573,0.4769230769230768,0.5517241379310345,0.240506329113924,0.44761904761904736,0.5916230366492146,2016,LAC,1.0
390,0.36734693877551194,0.43165467625899234,0.5344827586206895,0.3786407766990294,0.2789115646258503,0.2921052631578947,0.4085365853658536,0.5757575757575757,0.6373626373626373,0.32467532467532445,0.5590551181102362,0.47928994082840237,0.6871508379888271,0.3750000000000001,0.323699421965318,0.37267080745341596,0.30714285714285716,0.5076923076923077,0.32758620689655177,0.278481012658228,0.4857142857142853,0.45026178010471174,2016,MEM,1.0
57,0.18367346938775597,0.5323741007194243,0.5689655172413794,0.5048543689320386,0.30612244897959184,0.28947368421052627,0.5365853658536583,0.6590909090909092,0.6620879120879122,0.3896103896103895,0.27559055118110243,0.2426035502958579,0.541899441340782,0.30208333333333337,0.4046242774566473,0.4223602484472049,0.4214285714285715,0.32307692307692304,0.2758620689655173,0.4683544303797469,0.13333333333333308,0.43717277486910966,2016,BRK,0.0
126,0.5510204081632608,0.5611510791366907,0.6982758620689657,0.3883495145631066,0.4013605442176871,0.3684210526315789,0.652439024390244,0.5757575757575757,0.6648351648351647,0.2792207792207795,0.3385826771653543,0.2603550295857988,0.7094972067039111,0.36458333333333337,0.5953757225433525,0.664596273291925,0.4571428571428573,0.07692307692307687,0.5689655172413794,0.35443037974683556,0.20952380952380945,0.5157068062827221,2016,CHI,0.0
207,0.36734693877551194,0.49640287769784175,0.6120689655172415,0.39805825242718473,0.40816326530612246,0.4289473684210526,0.45121951219512213,0.5,0.543956043956044,0.39610389610389607,0.49606299212598437,0.44378698224852076,0.592178770949721,0.4062500000000001,0.4739884393063585,0.5590062111801242,0.44999999999999996,0.2923076923076924,0.41379310344827597,0.45569620253164556,0.4190476190476189,0.5235602094240837,2016,DEN,0.0
369,0.12244897959183731,0.30935251798561136,0.5862068965517238,0.1262135922330092,0.3945578231292517,0.45263157894736844,0.32317073170731714,0.31818181818181834,0.502747252747253,0.2142857142857144,0.5590551181102362,0.47928994082840237,0.6759776536312851,0.32291666666666663,0.4277456647398843,0.45962732919254634,0.11428571428571432,0.2615384615384615,0.29310344827586204,0.3291139240506329,0.35238095238095224,0.40314136125654443,2016,LAL,0.0
450,0.36734693877551194,0.5467625899280573,0.47413793103448265,0.6407766990291268,0.23129251700680278,0.21578947368421048,0.49390243902439024,0.75,0.6785714285714284,0.4805194805194808,0.3779527559055119,0.36094674556213,0.48603351955307295,0.30208333333333337,0.36416184971098264,0.3788819875776399,0.47857142857142865,0.41538461538461524,0.5862068965517242,0.5189873417721518,0.3904761904761902,0.4476439790575917,2016,MIL,0.0
477,0.48979591836734926,0.49640287769784175,0.43534482758620685,0.6116504854368934,0.2380952380952381,0.23684210526315785,0.45121951219512213,0.6893939393939399,0.6318681318681321,0.4870129870129869,0.7244094488188976,0.6153846153846154,0.7374301675977653,0.2500000000000001,0.3815028901734103,0.37267080745341596,0.5,0.3846153846153846,0.37931034482758624,0.49367088607594933,0.3904761904761902,0.5366492146596862,2016,MIN,0.0
486,0.24489795918367463,0.5539568345323738,0.6336206896551726,0.4563106796116507,0.44897959183673464,0.431578947368421,0.5853658536585364,0.5151515151515151,0.554945054945055,0.39610389610389607,0.40157480314960636,0.33136094674556205,0.6480446927374302,0.19791666666666674,0.4739884393063585,0.43478260869565233,0.41428571428571437,0.33846153846153837,0.310344827586207,0.2911392405063291,0.4095238095238092,0.5445026178010473,2016,NOP,0.0
