,Team,Actual_Score,Year,Predicted_Score
446,BOS,2.0,2011,1.0
447,LAL,2.0,2011,10.0
448,MEM,2.0,2011,1.0
449,DEN,1.0,2011,2.0
450,IND,1.0,2011,0.0
451,NOP,1.0,2011,0.0
452,NYK,1.0,2011,4.0
453,ORL,1.0,2011,10.0
454,PHI,1.0,2011,10.0
455,POR,1.0,2011,0.0
456,SAS,1.0,2011,2.0
457,BRK,0.0,2011,0.0
458,CHO,0.0,2011,0.0
459,CLE,0.0,2011,0.0
460,DET,0.0,2011,0.0
461,GSW,0.0,2011,0.0
462,HOU,0.0,2011,2.0
463,LAC,0.0,2011,0.0
464,MIL,0.0,2011,0.0
465,MIN,0.0,2011,0.0
466,PHO,0.0,2011,1.0
467,SAC,0.0,2011,0.0
468,TOR,0.0,2011,2.0
469,UTA,0.0,2011,1.0
470,WAS,0.0,2011,0.0
471,MIA,10.0,2012,1.0
472,OKC,7.0,2012,1.0
473,BOS,4.0,2012,1.0
474,SAS,4.0,2012,2.0
475,IND,2.0,2012,1.0
476,LAC,2.0,2012,1.0
477,LAL,2.0,2012,10.0
478,PHI,2.0,2012,7.0
479,ATL,1.0,2012,1.0
480,CHI,1.0,2012,4.0
481,DAL,1.0,2012,1.0
482,DEN,1.0,2012,1.0
483,MEM,1.0,2012,0.0
484,NYK,1.0,2012,1.0
485,ORL,1.0,2012,2.0
486,UTA,1.0,2012,10.0
487,BRK,0.0,2012,2.0
488,CHO,0.0,2012,0.0
489,CLE,0.0,2012,0.0
490,DET,0.0,2012,0.0
491,GSW,0.0,2012,1.0
492,HOU,0.0,2012,0.0
493,MIL,0.0,2012,1.0
494,MIN,0.0,2012,1.0
495,NOP,0.0,2012,0.0
496,PHO,0.0,2012,0.0
497,POR,0.0,2012,1.0
498,SAC,0.0,2012,1.0
499,TOR,0.0,2012,0.0
500,WAS,0.0,2012,0.0
501,MIA,10.0,2013,0.0
502,SAS,7.0,2013,10.0
