,Team,Actual_Score,Year,Predicted_Score
187,POR,1.0,2002,2.4029368662431656
179,DAL,2.0,2002,2.1366861955213188
184,OKC,1.0,2002,2.1172612356007097
196,LAC,0.0,2002,1.692541647653426
180,DET,2.0,2002,1.6457536061271183
189,UTA,1.0,2002,1.6439794233322562
188,TOR,1.0,2002,1.6384072908156664
182,IND,1.0,2002,1.613809005621018
202,WAS,0.0,2002,1.5532760877612923
176,BOS,4.0,2002,1.5279188592726662
185,ORL,1.0,2002,1.4838935759053977
199,MIL,0.0,2002,1.3519142003620352
201,PHO,0.0,2002,1.277698490180905
194,GSW,0.0,2002,0.837559619142739
198,MIA,0.0,2002,0.7563207285755522
192,CLE,0.0,2002,0.6509310442388694
200,NYK,0.0,2002,0.18787231421603195
195,HOU,0.0,2002,-0.11355366260736244
190,ATL,0.0,2002,-0.12127403303340056
193,DEN,0.0,2002,-0.372491506441577
197,MEM,0.0,2002,-0.4435406821512198
191,CHI,0.0,2002,-1.0492919733519233
210,SAC,2.0,2003,3.394710662447428
204,BRK,7.0,2003,3.337558334793171
205,DAL,4.0,2003,2.9568348306282384
203,SAS,10.0,2003,2.913695379902357
211,IND,1.0,2003,2.801227399182369
218,UTA,1.0,2003,2.323917786702501
209,PHI,2.0,2003,2.198959201534443
213,MIN,1.0,2003,2.0385782305141023
206,DET,4.0,2003,2.0270817550864186
214,NOP,1.0,2003,1.9678641678383555
208,LAL,2.0,2003,1.9546275983289403
217,POR,1.0,2003,1.9502985529585286
223,GSW,0.0,2003,1.835373689306636
216,PHO,1.0,2003,1.6040905950243611
224,HOU,0.0,2003,1.513232155561924
231,WAS,0.0,2003,1.288041699052711
215,ORL,1.0,2003,1.2395799519424298
207,BOS,2.0,2003,1.1206410090594925
212,MIL,1.0,2003,1.0874355031534724
229,OKC,0.0,2003,0.9717927673252997
219,ATL,0.0,2003,0.6739803192316919
225,LAC,0.0,2003,0.3052666789671427
228,NYK,0.0,2003,0.15226077039293764
220,CHI,0.0,2003,0.01883157436963928
226,MEM,0.0,2003,0.016555576922116233
230,TOR,0.0,2003,-0.07847867515198842
227,MIA,0.0,2003,-0.314142332980091
221,CLE,0.0,2003,-1.1181200965001568
222,DEN,0.0,2003,-1.1243982221406663
239,SAS,2.0,2004,4.198170534949061
232,DET,10.0,2004,3.737520048345433
234,IND,4.0,2004,3.358520263083343
235,MIN,4.0,2004,2.99823425855435
233,LAL,7.0,2004,2.8993362636358606
236,BRK,2.0,2004,2.627348895454575
241,DAL,1.0,2004,2.471573249138274
238,SAC,2.0,2004,2.341760566386956
245,MIL,1.0,2004,2.0695849378755673
244,MEM,1.0,2004,2.021680822749039
246,NOP,1.0,2004,1.8660893958707105
237,MIA,2.0,2004,1.7778709815519425
242,DEN,1.0,2004,1.6548880567697872
240,BOS,1.0,2004,1.4086944996803794
250,CLE,0.0,2004,1.3548662671272749
251,GSW,0.0,2004,1.1742640640231539
243,HOU,1.0,2004,1.1429511261963627
259,UTA,0.0,2004,0.8295285626021516
255,PHI,0.0,2004,0.725737273585585
247,NYK,1.0,2004,0.7198774929943471
253,OKC,0.0,2004,0.586226458189842
257,POR,0.0,2004,0.4277143216115959
260,WAS,0.0,2004,0.3005973619197286
248,ATL,0.0,2004,0.10056844674334264
258,TOR,0.0,2004,0.06199893136620965
256,PHO,0.0,2004,0.04005916365656187
249,CHI,0.0,2004,-0.05309183695468789
252,LAC,0.0,2004,-0.08056471612581384
254,ORL,0.0,2004,-0.5234898788215542
261,SAS,10.0,2005,3.9732222503129435
263,MIA,4.0,2005,3.9399197299564808
264,PHO,4.0,2005,3.697027609428172
265,DAL,2.0,2005,3.110807993616169
262,DET,7.0,2005,2.9147589684133397
273,HOU,1.0,2005,2.126130705959014
272,DEN,1.0,2005,2.1004514579278473
279,CLE,0.0,2005,1.984199688765603
274,MEM,1.0,2005,1.9583034301264755
268,WAS,2.0,2005,1.9260867580039642
271,CHI,1.0,2005,1.8877421376681798
284,MIN,0.0,2005,1.836983225904953
269,BOS,1.0,2005,1.6387926860725264
267,OKC,2.0,2005,1.5612969663661544
276,SAC,1.0,2005,1.4380065740197394
287,ORL,0.0,2005,1.2963087019797852
266,IND,2.0,2005,1.2340624433822573
275,PHI,1.0,2005,0.8182343556211924
283,MIL,0.0,2005,0.5643599400997898
280,GSW,0.0,2005,0.48330367641029826
289,TOR,0.0,2005,0.4783843383339341
281,LAC,0.0,2005,0.44349789997683087
288,POR,0.0,2005,0.40349005277902905
270,BRK,1.0,2005,0.3693719811231213
