,Team,Score,Year
12,UTA,1,2020
13,OKC,1,2020
14,DAL,1,2020
15,POR,1,2020
0,MIL,10,2021
1,PHO,7,2021
2,ATL,4,2021
3,LAC,4,2021
4,PHI,2,2021
5,BRK,2,2021
6,UTA,2,2021
7,DEN,2,2021
8,NYK,1,2021
9,BOS,1,2021
10,MIA,1,2021
11,WAS,1,2021
12,POR,1,2021
13,DAL,1,2021
14,LAL,1,2021
15,MEM,1,2021
0,GSW,10,2022
1,BOS,7,2022
2,MIA,4,2022
3,DAL,4,2022
4,MIL,2,2022
5,PHI,2,2022
6,PHO,2,2022
7,MEM,2,2022
8,BRK,1,2022
9,ATL,1,2022
10,CHI,1,2022
11,TOR,1,2022
12,UTA,1,2022
13,DEN,1,2022
14,MIN,1,2022
15,NOP,1,2022
