,Team,Actual_Score,Year,Predicted_Score
294,PHO,4.0,2006,0.38824138201522695
295,BRK,2.0,2006,1.7310034347539633
296,CLE,2.0,2006,2.4668121583761886
297,LAC,2.0,2006,2.2662265595376114
298,SAS,2.0,2006,3.0995332237857918
299,CHI,1.0,2006,0.41343738797592955
300,DEN,1.0,2006,1.868571036616918
301,IND,1.0,2006,2.038767597662392
302,LAL,1.0,2006,1.9504982322483422
303,MEM,1.0,2006,2.248311523991606
304,MIL,1.0,2006,1.1364324014385385
305,SAC,1.0,2006,1.0257079234227768
306,WAS,1.0,2006,1.375345462687152
307,ATL,0.0,2006,1.9576825384821788
308,BOS,0.0,2006,0.5279401168540367
309,CHO,0.0,2006,0.6553303339232582
310,GSW,0.0,2006,0.9160579578942596
311,HOU,0.0,2006,1.358882360538198
312,MIN,0.0,2006,0.8687321784213986
313,NYK,0.0,2006,0.4870555806162366
314,OKC,0.0,2006,-0.09653393957322756
315,ORL,0.0,2006,1.886030116184601
316,PHI,0.0,2006,1.6192770789777422
317,POR,0.0,2006,0.2996214836144633
318,TOR,0.0,2006,-0.3952126841315661
319,UTA,0.0,2006,1.7982533570175487
320,NOP,0.0,2006,1.2344644735894283
321,SAS,10.0,2007,2.869433823693118
322,CLE,7.0,2007,2.159266619290495
323,DET,4.0,2007,2.243903749197406
324,UTA,4.0,2007,2.1898069961047613
325,BRK,2.0,2007,1.1833250483701525
326,CHI,2.0,2007,1.927466429358576
327,GSW,2.0,2007,0.8462539194233714
328,PHO,2.0,2007,0.9955134582075389
329,DAL,1.0,2007,2.0617140931738547
330,DEN,1.0,2007,1.695428321972982
331,HOU,1.0,2007,1.86563826092503
332,LAL,1.0,2007,0.9660756926984082
333,MIA,1.0,2007,2.446410224391916
334,ORL,1.0,2007,1.937430700624865
335,TOR,1.0,2007,1.0552210608856132
336,WAS,1.0,2007,0.905942360442259
337,ATL,0.0,2007,2.0477853806391844
338,BOS,0.0,2007,-0.2951879100521257
339,CHO,0.0,2007,0.2394713550517803
340,IND,0.0,2007,0.16470954067576432
341,LAC,0.0,2007,1.766043259068174
342,MEM,0.0,2007,0.18158891021790008
343,MIL,0.0,2007,-0.3422967781754716
344,MIN,0.0,2007,-0.15393260800260083
345,NYK,0.0,2007,1.028656090245213
346,OKC,0.0,2007,-0.2793759433857757
347,PHI,0.0,2007,0.6247191629533935
348,POR,0.0,2007,-0.16865947988997182
349,SAC,0.0,2007,0.46624536874037614
350,NOP,0.0,2007,0.8546241196957967
351,BOS,10.0,2008,3.3123770370966485
352,LAL,7.0,2008,3.358408964237778
353,DET,4.0,2008,3.057290028282386
354,SAS,4.0,2008,2.347523741447284
355,CLE,2.0,2008,2.2500634773121946
356,NOP,2.0,2008,2.5578054200137608
357,ORL,2.0,2008,2.693571645225222
358,UTA,2.0,2008,3.3178746717808316
359,ATL,1.0,2008,2.0688119940491787
360,DAL,1.0,2008,2.4575269469345735
361,DEN,1.0,2008,3.1264151868690333
362,HOU,1.0,2008,2.782784917803783
363,PHI,1.0,2008,2.491798202459137
364,PHO,1.0,2008,2.496403208897426
365,TOR,1.0,2008,1.7036108700229822
