,Team,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,DRB%,FT/FGA_opp
17,Golden State Warriors,-1.35,0.25,-1.11,104.8,106.2,-1.4,93.3,.323,.270,.521,.479,13.0,26.9,.232,.492,14.1,71.6,.243
18,Houston Rockets,-1.59,0.28,-1.30,101.6,103.3,-1.7,88.0,.317,.226,.519,.471,14.3,25.5,.240,.472,13.1,74.6,.247
19,Boston Celtics,-1.54,-0.05,-1.59,105.2,106.9,-1.7,92.2,.349,.204,.551,.504,15.7,25.5,.263,.490,13.8,72.8,.282
20,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
21,Team,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
22,Minnesota Timberwolves,-1.88,0.13,-1.75,102.4,104.5,-2.1,88.8,.299,.149,.524,.480,14.2,25.2,.226,.475,13.4,71.3,.236
23,Philadelphia 76ers,-1.95,-0.15,-2.10,106.0,108.1,-2.1,92.7,.356,.158,.538,.487,13.3,25.6,.270,.500,14.3,71.3,.240
24,Utah Jazz,-2.63,0.14,-2.49,104.1,107.0,-2.9,87.8,.397,.149,.519,.467,15.0,32.4,.286,.490,14.0,73.2,.303
25,New Orleans/Oklahoma City Hornets,-2.82,0.31,-2.51,103.7,106.8,-3.1,89.0,.339,.138,.515,.464,12.9,26.9,.257,.502,14.3,73.4,.243
26,Toronto Raptors,-2.99,-0.04,-3.03,109.5,112.7,-3.2,91.1,.315,.244,.548,.500,12.4,25.4,.249,.530,13.5,73.3,.263
27,Seattle SuperSonics,-3.02,0.15,-2.88,111.1,114.4,-3.3,91.6,.314,.243,.551,.504,13.7,30.4,.246,.527,13.6,69.0,.260
28,Charlotte Bobcats,-4.00,0.10,-3.90,102.5,106.7,-4.2,93.4,.319,.184,.509,.464,13.0,27.1,.233,.514,16.5,70.7,.263
29,Atlanta Hawks,-4.76,0.07,-4.69,106.4,111.6,-5.2,90.4,.340,.178,.534,.486,14.7,31.4,.255,.513,14.1,69.5,.275
30,New York Knicks,-6.40,0.11,-6.30,104.0,111.0,-7.0,90.8,.417,.142,.534,.481,16.5,31.2,.303,.511,13.4,72.8,.294
31,Portland Trail Blazers,-9.45,0.54,-8.91,101.1,111.9,-10.8,87.6,.310,.166,.511,.474,14.5,26.6,.214,.507,12.6,68.2,.231
32,League Average,0.00,0.00,0.00,106.2,106.2,,90.5,.333,.202,.536,.490,13.7,27.3,.248,.490,13.7,72.7,.248
0,San Antonio Spurs*,8.43,-0.08,8.35,109.2,99.9,+9.3,89.8,.313,.247,.561,.521,13.6,24.2,.235,.471,14.0,75.7,.201
1,Dallas Mavericks*,7.22,0.06,7.28,111.3,103.2,+8.1,89.5,.317,.218,.559,.509,13.4,28.7,.256,.477,14.2,75.0,.265
2,Phoenix Suns*,7.30,-0.03,7.28,113.9,106.4,+7.5,95.6,.267,.287,.590,.551,13.4,22.7,.215,.492,13.6,71.9,.206
3,Chicago Bulls*,5.01,-0.49,4.52,104.9,99.6,+5.3,93.6,.313,.186,.534,.493,14.7,28.6,.229,.473,16.2,74.3,.252
4,Houston Rockets*,4.85,0.19,5.04,106.0,100.7,+5.3,90.7,.292,.290,.540,.499,13.6,25.7,.220,.466,13.6,77.0,.230
5,Detroit Pistons*,4.16,-0.47,3.69,108.9,104.2,+4.7,87.3,.307,.201,.535,.488,12.0,28.3,.237,.477,14.3,70.9,.234
6,Cleveland Cavaliers*,3.83,-0.50,3.33,105.5,101.3,+4.2,90.8,.320,.211,.522,.484,13.4,29.7,.223,.480,14.7,75.8,.243
7,Utah Jazz*,2.87,0.20,3.06,110.1,107.0,+3.1,91.6,.380,.163,.551,.502,14.5,31.7,.283,.496,14.4,75.1,.314
8,Denver Nuggets*,1.62,0.07,1.69,107.6,105.9,+1.7,97.4,.360,.212,.548,.501,14.6,28.9,.268,.499,14.5,71.8,.203
9,Toronto Raptors*,0.99,-0.38,0.61,107.0,106.0,+1.0,92.6,.303,.224,.550,.504,13.0,22.2,.239,.503,14.3,74.5,.219
10,Orlando Magic*,0.78,-0.43,0.35,104.9,104.1,+0.8,89.9,.393,.158,.544,.500,16.3,29.3,.276,.480,14.6,73.7,.286
11,Los Angeles Lakers*,-0.07,0.32,0.24,108.6,108.6,0.0,93.5,.333,.259,.554,.511,14.3,26.1,.249,.500,13.5,72.3,.262
12,Golden State Warriors*,-0.34,0.34,0.00,107.0,107.4,-0.4,99.2,.300,.279,.548,.512,14.1,25.6,.215,.506,16.1,69.6,.264
13,Washington Wizards*,-0.51,-0.28,-0.80,110.1,110.6,-0.5,94.1,.356,.237,.542,.491,12.6,28.1,.272,.517,14.4,71.0,.249
14,Los Angeles Clippers,-0.46,0.39,-0.07,105.1,105.6,-0.5,90.8,.355,.143,.537,.481,14.5,27.2,.280,.488,13.3,74.7,.249
15,New Jersey Nets*,-0.77,-0.23,-1.00,105.7,106.6,-0.9,91.4,.338,.263,.546,.504,14.2,24.6,.245,.490,13.7,74.4,.266
16,Miami Heat*,-0.91,-0.29,-1.21,104.3,105.3,-1.0,89.9,.321,.245,.541,.506,14.3,24.9,.222,.485,13.8,73.3,.232
17,New Orleans/Oklahoma City Hornets,-1.57,0.38,-1.19,104.8,106.5,-1.7,90.2,.291,.188,.520,.479,13.6,29.1,.215,.499,13.2,74.7,.212
18,Sacramento Kings,-1.80,0.46,-1.35,106.2,108.0,-1.8,94.8,.379,.232,.545,.491,13.5,23.1,.289,.513,14.9,72.5,.240
19,Indiana Pacers,-2.44,-0.18,-2.62,102.9,105.5,-2.6,92.4,.324,.212,.523,.474,15.1,28.4,.246,.491,14.8,72.7,.271
20,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
21,Team,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
22,Seattle SuperSonics,-2.89,0.45,-2.45,107.2,110.3,-3.1,91.8,.288,.219,.544,.499,14.5,27.8,.228,.515,14.1,70.9,.243
23,New York Knicks,-2.85,-0.21,-3.06,105.7,108.8,-3.1,90.8,.377,.216,.539,.494,15.9,31.0,.270,.504,13.0,74.0,.246
24,Philadelphia 76ers,-3.02,-0.23,-3.26,103.6,106.9,-3.3,90.7,.333,.128,.530,.480,14.6,27.2,.255,.501,14.7,70.8,.221
25,Boston Celtics,-3.41,-0.29,-3.70,103.2,106.9,-3.7,92.0,.337,.199,.530,.479,15.4,27.0,.259,.502,14.5,73.8,.280
26,Minnesota Timberwolves,-3.67,0.51,-3.16,103.9,107.9,-4.0,91.0,.291,.167,.537,.490,14.8,25.1,.231,.498,13.3,72.1,.226
27,Charlotte Bobcats,-3.74,-0.22,-3.97,103.6,107.6,-4.0,92.0,.322,.193,.524,.480,13.9,26.4,.236,.500,14.7,71.6,.279
28,Milwaukee Bucks,-4.38,-0.06,-4.43,107.0,111.7,-4.7,92.3,.286,.219,.541,.504,14.1,27.6,.209,.522,14.5,68.1,.234
29,Portland Trail Blazers,-4.29,0.51,-3.78,105.1,109.9,-4.8,88.3,.314,.193,.530,.483,14.5,28.2,.241,.508,13.5,73.0,.267
30,Atlanta Hawks,-4.76,-0.10,-4.86,103.0,108.3,-5.3,90.0,.346,.163,.523,.471,15.1,29.2,.263,.503,14.5,70.9,.268
31,Memphis Grizzlies,-5.15,0.71,-4.44,106.9,112.3,-5.4,93.6,.374,.211,.555,.504,15.2,25.9,.285,.529,14.0,71.1,.237
32,League Average,0.00,0.00,0.00,106.5,106.5,,91.9,.327,.213,.541,.496,14.2,27.1,.246,.496,14.2,72.9,.246
0,Boston Celtics*,10.26,-0.95,9.30,110.2,98.9,+11.3,90.9,.346,.249,.569,.522,14.7,26.6,.267,.457,15.2,74.4,.253
1,Detroit Pistons*,7.39,-0.72,6.67,111.4,102.9,+8.5,87.3,.300,.203,.539,.495,11.4,29.4,.230,.470,13.4,73.7,.244
2,Los Angeles Lakers*,7.26,0.09,7.34,113.0,105.5,+7.5,95.6,.333,.257,.570,.525,12.9,26.3,.256,.485,12.9,73.4,.214
3,Utah Jazz*,6.88,-0.01,6.86,113.8,106.5,+7.3,93.2,.349,.166,.573,.528,13.6,29.5,.265,.501,15.0,74.1,.294
4,Orlando Magic*,5.46,-0.68,4.79,111.3,105.5,+5.8,93.4,.355,.322,.575,.537,13.6,23.4,.256,.484,12.3,74.8,.217
5,New Orleans Hornets*,5.28,0.18,5.46,111.5,105.7,+5.8,89.9,.251,.239,.548,.512,11.4,27.0,.193,.501,13.5,75.4,.184
6,San Antonio Spurs*,4.79,0.31,5.10,107.2,101.8,+5.4,88.8,.276,.251,.543,.504,12.6,23.4,.210,.477,12.8,77.1,.201
7,Houston Rockets*,4.68,0.15,4.83,106.8,101.6,+5.2,90.4,.276,.255,.528,.492,13.0,29.1,.200,.465,12.8,74.8,.214
8,Phoenix Suns*,5.05,0.09,5.14,113.3,108.1,+5.2,96.7,.292,.260,.590,.551,13.4,22.4,.228,.488,11.8,70.9,.191
9,Dallas Mavericks*,4.54,0.16,4.70,111.1,106.1,+5.0,90.2,.318,.215,.554,.502,12.3,26.7,.259,.474,11.7,75.0,.252
10,Denver Nuggets*,3.71,0.03,3.74,110.0,106.3,+3.7,99.7,.358,.228,.557,.510,12.9,25.5,.269,.499,14.1,72.1,.203
11,Toronto Raptors*,2.90,-0.44,2.47,110.2,107.0,+3.2,90.2,.247,.217,.551,.511,11.4,23.4,.200,.505,13.5,75.0,.205
12,Golden State Warriors,2.21,0.17,2.38,111.8,109.5,+2.3,98.8,.276,.295,.548,.511,11.5,27.2,.208,.509,14.7,70.3,.258
13,Philadelphia 76ers*,0.41,-0.23,0.19,106.4,106.0,+0.4,90.4,.321,.143,.522,.482,13.4,31.8,.227,.504,15.1,72.0,.205
14,Washington Wizards*,-0.33,-0.28,-0.61,109.2,109.6,-0.4,89.5,.297,.241,.535,.489,12.5,28.9,.233,.513,13.5,72.8,.217
15,Cleveland Cavaliers*,-0.35,-0.17,-0.53,106.0,106.4,-0.4,90.2,.308,.231,.520,.480,13.1,30.4,.221,.494,12.9,75.9,.240
16,Portland Trail Blazers,-0.98,0.45,-0.52,107.3,108.4,-1.1,87.9,.281,.218,.532,.489,12.6,26.8,.216,.491,12.1,71.8,.212
17,Indiana Pacers,-1.40,-0.46,-1.87,106.0,107.5,-1.5,97.7,.292,.289,.540,.498,13.5,24.4,.224,.498,14.1,73.9,.271
18,Atlanta Hawks*,-1.82,-0.41,-2.23,106.9,108.9,-2.0,91.1,.340,.165,.535,.483,14.0,29.7,.263,.501,12.9,71.7,.217
19,Sacramento Kings,-2.26,0.40,-1.86,107.5,109.9,-2.4,94.7,.346,.208,.556,.503,14.8,25.2,.276,.510,13.9,71.7,.256
20,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
21,Team,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
22,Chicago Bulls,-3.09,-0.11,-3.19,103.9,107.2,-3.3,93.0,.296,.190,.515,.470,13.4,28.9,.223,.496,14.2,73.1,.258
23,Charlotte Bobcats,-4.38,-0.11,-4.49,104.6,109.4,-4.8,91.8,.323,.220,.532,.492,13.9,25.6,.230,.505,13.4,71.0,.235
24,New Jersey Nets,-5.06,-0.09,-5.15,104.0,109.4,-5.4,91.5,.347,.222,.528,.481,14.2,26.6,.255,.497,12.7,73.8,.271
25,Memphis Grizzlies,-6.21,0.45,-5.76,105.0,111.4,-6.4,95.3,.311,.264,.539,.500,14.0,23.8,.225,.521,12.2,73.4,.196
26,New York Knicks,-6.61,0.06,-6.55,104.7,111.9,-7.2,91.6,.310,.215,.518,.475,13.4,28.6,.226,.518,12.1,72.7,.229
27,Minnesota Timberwolves,-6.78,0.52,-6.26,103.8,111.2,-7.4,91.9,.248,.185,.518,.484,13.6,27.5,.183,.513,12.9,73.6,.269
28,Milwaukee Bucks,-6.89,-0.03,-6.92,105.3,112.8,-7.5,91.3,.294,.195,.522,.482,13.7,30.0,.215,.524,13.0,73.0,.250
29,Los Angeles Clippers,-7.27,0.71,-6.56,101.2,109.1,-7.9,92.1,.338,.167,.519,.465,13.7,23.1,.264,.503,12.8,73.1,.236
30,Seattle SuperSonics,-8.76,0.72,-8.04,100.5,109.5,-9.0,96.3,.265,.134,.509,.467,14.3,26.8,.204,.503,11.9,73.7,.215
31,Miami Heat,-8.65,0.11,-8.53,100.5,110.0,-9.5,90.2,.300,.217,.522,.482,14.4,22.1,.218,.510,13.6,71.9,.245
32,League Average,0.00,0.00,0.00,107.5,107.5,,92.4,.306,.222,.540,.497,13.2,26.7,.231,.497,13.2,73.3,.231
0,Cleveland Cavaliers*,8.93,-0.25,8.68,112.4,102.4,+10.0,88.7,.312,.259,.560,.519,12.5,27.7,.236,.468,13.5,74.6,.226
1,Boston Celtics*,7.51,-0.07,7.44,110.5,102.3,+8.2,90.4,.328,.214,.571,.528,15.0,27.9,.251,.470,14.0,75.6,.253
2,Los Angeles Lakers*,7.66,-0.55,7.11,112.8,104.7,+8.1,94.3,.299,.217,.555,.513,12.3,29.4,.230,.490,14.2,73.0,.213
3,Orlando Magic*,6.70,-0.21,6.48,109.2,101.9,+7.3,92.3,.351,.335,.559,.520,13.4,24.0,.251,.465,12.3,75.9,.209
4,Portland Trail Blazers*,5.34,-0.35,5.00,113.9,107.8,+6.1,86.6,.306,.239,.553,.511,12.5,32.6,.234,.499,13.2,75.0,.227
5,Houston Rockets*,4.00,-0.27,3.73,108.4,104.0,+4.4,90.2,.292,.254,.548,.501,13.6,26.4,.235,.479,11.9,75.3,.192
6,San Antonio Spurs*,3.76,-0.40,3.36,108.5,104.3,+4.2,88.4,.251,.248,.548,.513,11.7,22.1,.191,.487,11.7,78.0,.191
7,Denver Nuggets*,3.41,-0.29,3.13,110.4,106.8,+3.6,94.3,.382,.227,.563,.512,14.2,27.5,.290,.485,14.1,71.7,.259
8,Utah Jazz*,2.65,-0.34,2.31,110.1,107.3,+2.8,93.1,.355,.169,.554,.504,13.6,28.2,.274,.505,15.0,72.7,.262
9,Dallas Mavericks*,1.98,-0.30,1.68,110.5,108.4,+2.1,91.5,.274,.241,.550,.504,12.1,26.6,.224,.493,12.3,74.6,.225
10,Phoenix Suns,1.93,-0.31,1.62,113.6,111.6,+2.0,96.0,.336,.216,.584,.545,14.4,27.7,.250,.511,12.8,71.7,.233
11,Atlanta Hawks*,1.57,0.13,1.70,109.3,107.6,+1.7,89.6,.323,.253,.546,.504,12.5,26.0,.238,.494,13.2,71.6,.210
12,New Orleans Hornets*,1.55,-0.14,1.41,108.7,107.0,+1.7,87.8,.288,.240,.548,.501,12.5,24.6,.232,.496,13.2,74.9,.230
13,Miami Heat*,0.26,0.23,0.49,107.8,107.6,+0.2,89.9,.282,.245,.540,.500,12.1,24.6,.212,.501,14.5,72.9,.251
14,Philadelphia 76ers*,0.07,0.09,0.16,107.9,107.8,+0.1,90.0,.339,.164,.532,.485,13.4,31.3,.253,.507,14.9,71.4,.216
15,Chicago Bulls*,-0.28,0.12,-0.16,108.4,108.7,-0.3,93.1,.300,.189,.541,.493,13.3,28.0,.239,.493,13.1,70.9,.238
16,Detroit Pistons*,-0.49,0.13,-0.36,107.4,108.0,-0.6,86.7,.282,.165,.524,.483,11.7,27.9,.212,.485,11.7,74.0,.248
17,Indiana Pacers,-1.11,0.35,-0.76,108.1,109.2,-1.1,96.5,.267,.244,.545,.501,13.1,25.4,.215,.499,12.7,74.5,.271
18,Milwaukee Bucks,-1.09,0.21,-0.88,106.7,107.9,-1.2,92.6,.306,.208,.531,.483,13.1,27.8,.239,.503,15.6,74.0,.315
19,Charlotte Bobcats,-1.27,0.07,-1.20,104.7,106.1,-1.4,88.3,.312,.213,.536,.494,15.1,27.7,.231,.498,14.4,73.0,.229
20,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
21,Team,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
22,New York Knicks,-2.61,0.28,-2.33,108.1,110.8,-2.7,96.7,.268,.322,.544,.503,12.9,24.4,.210,.520,13.0,72.7,.215
23,New Jersey Nets,-2.44,0.13,-2.31,108.3,111.0,-2.7,89.9,.303,.265,.543,.497,12.7,25.2,.236,.509,13.0,73.5,.272
24,Toronto Raptors,-2.82,0.28,-2.54,107.0,110.0,-3.0,92.0,.279,.193,.542,.494,12.8,24.0,.230,.511,12.6,73.7,.202
25,Golden State Warriors,-3.74,-0.06,-3.80,109.5,113.3,-3.8,98.2,.339,.209,.549,.497,12.9,26.1,.268,.508,12.9,68.1,.251
26,Minnesota Timberwolves,-4.91,0.18,-4.74,106.1,111.4,-5.3,91.6,.289,.227,.526,.481,13.3,27.7,.222,.515,12.0,75.0,.254
27,Memphis Grizzlies,-5.46,0.24,-5.23,103.5,109.5,-6.0,90.1,.329,.175,.533,.486,14.8,25.8,.249,.515,14.1,73.5,.247
28,Oklahoma City Thunder,-6.10,0.06,-6.04,102.9,109.4,-6.5,93.6,.308,.141,.521,.471,14.8,28.6,.242,.514,13.0,73.9,.216
29,Washington Wizards,-7.46,0.48,-6.98,105.4,113.6,-8.2,91.0,.293,.180,.524,.480,13.2,27.7,.224,.533,13.3,71.4,.227
30,Sacramento Kings,-8.76,0.16,-8.60,105.5,114.7,-9.2,94.2,.315,.238,.542,.491,14.3,24.5,.252,.526,13.0,69.9,.269
31,Los Angeles Clippers,-8.77,0.30,-8.47,102.3,111.7,-9.4,92.1,.275,.226,.520,.481,14.0,25.1,.202,.512,12.4,71.2,.227
32,League Average,0.00,0.00,0.00,108.3,108.3,,91.7,.306,.224,.544,.500,13.3,26.7,.236,.500,13.3,73.3,.236
0,Orlando Magic*,7.49,-0.37,7.12,111.4,103.3,+8.1,92.0,.340,.350,.573,.536,13.6,24.6,.246,.477,12.2,77.4,.205
1,Cleveland Cavaliers*,6.52,-0.36,6.17,111.2,104.1,+7.1,91.4,.341,.248,.570,.532,13.4,25.1,.246,.482,12.3,77.2,.218
2,Utah Jazz*,5.34,-0.01,5.33,110.7,105.0,+5.7,93.8,.340,.184,.565,.524,14.2,26.8,.252,.492,14.2,75.6,.269
3,San Antonio Spurs*,5.09,-0.02,5.07,110.0,104.5,+5.5,91.7,.296,.232,.552,.515,12.9,26.8,.219,.483,12.1,76.3,.214
4,Atlanta Hawks*,4.66,-0.22,4.44,111.9,106.7,+5.2,90.1,.281,.214,.545,.506,11.4,28.2,.213,.496,13.2,72.7,.208
5,Phoenix Suns*,4.90,-0.23,4.67,115.3,110.2,+5.1,95.3,.312,.261,.585,.546,13.6,27.6,.240,.491,11.6,70.8,.224
6,Los Angeles Lakers*,4.72,0.06,4.78,108.8,103.7,+5.1,92.8,.289,.227,.538,.496,12.4,27.6,.221,.484,13.2,74.4,.195
7,Denver Nuggets*,4.09,0.06,4.15,111.8,107.5,+4.3,94.8,.376,.227,.561,.509,12.7,26.1,.290,.495,13.8,72.4,.251
8,Boston Celtics*,3.66,-0.29,3.37,107.7,103.8,+3.9,91.6,.332,.228,.564,.522,14.5,22.8,.248,.487,14.9,73.8,.251
9,Portland Trail Blazers*,3.30,-0.13,3.18,110.8,107.1,+3.7,87.7,.315,.215,.547,.499,12.1,28.2,.249,.502,13.3,74.8,.219
10,Oklahoma City Thunder*,3.49,0.06,3.55,108.3,104.6,+3.7,93.1,.333,.185,.547,.494,13.9,28.6,.268,.483,14.0,73.6,.229
11,Dallas Mavericks*,2.72,-0.06,2.66,109.2,106.3,+2.9,92.5,.277,.222,.552,.506,12.3,24.3,.226,.495,13.6,73.7,.206
12,Miami Heat*,2.28,-0.29,1.99,106.6,104.1,+2.5,89.6,.296,.219,.537,.496,12.8,26.1,.223,.480,13.9,74.9,.246
13,Milwaukee Bucks*,1.70,-0.32,1.37,104.9,103.1,+1.8,91.7,.239,.259,.518,.482,12.3,26.2,.181,.486,14.6,76.4,.266
14,Charlotte Bobcats*,1.46,-0.17,1.30,104.4,102.8,+1.6,90.4,.346,.211,.538,.490,15.1,26.5,.260,.491,14.7,74.2,.194
15,Houston Rockets,-0.37,0.35,-0.02,107.6,108.0,-0.4,94.0,.292,.265,.537,.494,13.2,26.9,.225,.511,13.6,73.8,.215
16,Memphis Grizzlies,-1.51,0.13,-1.39,108.3,109.9,-1.6,93.6,.320,.148,.536,.494,13.7,31.3,.235,.520,13.2,73.3,.205
17,Chicago Bulls*,-1.63,0.00,-1.64,103.5,105.3,-1.8,93.1,.287,.156,.520,.477,13.3,26.6,.217,.484,12.3,74.8,.212
18,Toronto Raptors,-1.78,-0.05,-1.83,111.3,113.2,-1.9,93.1,.319,.211,.564,.521,12.7,24.7,.244,.513,11.8,72.9,.247
19,New Orleans Hornets,-2.46,0.19,-2.27,107.4,110.1,-2.7,92.6,.243,.230,.543,.506,12.7,24.8,.189,.523,13.5,73.8,.205
20,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
21,Team,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
22,Indiana Pacers,-3.01,-0.10,-3.11,103.7,106.8,-3.1,97.1,.296,.278,.536,.491,13.8,21.6,.229,.490,13.4,73.0,.258
23,Golden State Warriors,-3.60,0.32,-3.28,108.1,111.7,-3.6,100.4,.294,.238,.557,.514,13.1,20.9,.230,.525,15.1,68.5,.260
24,New York Knicks,-3.82,-0.19,-4.01,107.6,111.6,-4.0,94.0,.256,.312,.547,.509,13.0,23.5,.200,.526,13.3,72.1,.207
25,Philadelphia 76ers,-3.90,-0.03,-3.93,106.1,110.3,-4.2,91.6,.270,.206,.534,.496,13.7,27.6,.204,.518,13.8,73.2,.231
26,Sacramento Kings,-4.37,0.30,-4.06,105.3,109.9,-4.6,94.0,.286,.201,.528,.491,13.6,27.8,.207,.505,12.6,73.5,.244
27,Washington Wizards,-4.78,0.06,-4.72,104.2,109.4,-5.2,91.6,.283,.183,.524,.481,13.9,27.6,.216,.502,12.8,72.4,.239
28,Detroit Pistons,-5.11,0.09,-5.02,105.6,111.4,-5.8,88.5,.303,.180,.515,.474,12.8,30.3,.220,.526,14.2,73.4,.264
29,Los Angeles Clippers,-6.35,0.34,-6.01,103.3,110.1,-6.8,92.6,.283,.221,.529,.491,14.8,27.1,.206,.509,12.2,74.0,.214
30,Minnesota Timberwolves,-9.60,0.54,-9.06,101.7,111.6,-9.9,96.1,.278,.171,.518,.478,14.6,26.7,.207,.525,13.0,73.6,.220
31,New Jersey Nets,-9.12,0.19,-8.93,100.6,110.5,-9.9,91.4,.307,.181,.509,.458,13.7,25.1,.240,.517,13.3,71.8,.229
32,League Average,0.00,-0.01,-0.01,107.6,107.6,,92.7,.300,.222,.543,.501,13.3,26.3,.228,.501,13.3,73.7,.228
0,Miami Heat*,7.46,-0.71,6.76,111.7,103.5,+8.2,90.9,.363,.235,.573,.524,13.5,25.2,.279,.475,12.6,75.5,.223
1,Chicago Bulls*,7.32,-0.79,6.53,108.3,100.3,+8.0,90.4,.305,.215,.541,.501,13.5,29.4,.227,.463,13.6,76.2,.222
2,Los Angeles Lakers*,6.11,-0.10,6.01,111.0,104.3,+6.7,90.7,.293,.220,.545,.502,12.3,29.2,.228,.477,12.8,72.3,.181
3,San Antonio Spurs*,5.71,0.16,5.86,111.8,105.6,+6.2,92.3,.299,.261,.567,.527,12.8,24.9,.229,.491,12.6,74.6,.190
4,Boston Celtics*,5.37,-0.54,4.83,106.2,100.3,+5.9,90.4,.305,.180,.561,.519,14.5,21.1,.235,.469,14.8,74.7,.235
5,Orlando Magic*,5.46,-0.54,4.92,107.9,102.0,+5.9,91.2,.328,.328,.554,.521,14.3,26.1,.227,.475,13.3,76.9,.219
6,Denver Nuggets*,4.76,0.05,4.81,112.3,107.3,+5.0,95.6,.367,.258,.574,.526,13.1,23.9,.281,.500,12.7,75.4,.224
7,Dallas Mavericks*,4.23,0.18,4.41,109.7,105.0,+4.7,91.3,.286,.274,.565,.525,13.6,24.1,.222,.488,13.0,74.8,.206
8,Oklahoma City Thunder*,3.79,0.02,3.81,111.2,107.2,+4.0,92.7,.363,.212,.561,.501,13.1,27.4,.299,.493,12.9,73.6,.228
9,Memphis Grizzlies*,2.34,0.20,2.55,107.6,105.1,+2.5,91.9,.291,.136,.534,.493,13.0,28.9,.218,.502,15.7,72.5,.228
10,Houston Rockets,2.18,0.19,2.37,111.3,109.0,+2.3,94.2,.299,.264,.550,.503,12.3,27.4,.239,.500,12.6,72.7,.219
11,Portland Trail Blazers*,1.52,0.32,1.85,108.8,107.1,+1.7,87.9,.278,.228,.533,.486,12.6,29.5,.224,.510,15.4,72.0,.231
12,Philadelphia 76ers*,1.50,-0.50,1.01,106.6,105.0,+1.6,91.7,.273,.184,.535,.494,12.3,24.6,.210,.487,13.5,74.5,.231
13,New Orleans Hornets*,0.89,0.39,1.28,106.2,105.2,+1.0,88.7,.296,.192,.537,.493,12.8,25.1,.226,.501,14.4,76.2,.220
14,New York Knicks*,0.78,-0.30,0.48,110.9,110.1,+0.8,95.6,.304,.303,.561,.513,12.6,24.2,.246,.511,13.8,71.9,.240
15,Milwaukee Bucks,-0.84,-0.17,-1.02,101.6,102.5,-0.9,89.8,.287,.216,.511,.467,13.0,24.7,.217,.481,14.7,74.8,.236
16,Phoenix Suns,-0.89,0.43,-0.46,109.5,110.4,-0.9,94.4,.283,.271,.559,.522,13.2,23.7,.215,.513,13.1,71.6,.211
17,Atlanta Hawks*,-0.82,-0.28,-1.10,106.1,107.0,-0.9,89.3,.269,.222,.542,.501,13.5,23.4,.209,.495,12.3,74.6,.211
18,Indiana Pacers*,-1.07,-0.30,-1.38,104.8,106.0,-1.2,94.7,.300,.244,.533,.486,14.1,25.9,.235,.487,12.8,74.1,.237
19,Utah Jazz,-1.83,0.39,-1.44,108.1,110.1,-2.0,91.0,.313,.191,.544,.498,13.5,27.0,.241,.505,13.8,71.7,.275
20,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
21,Team,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
22,Golden State Warriors,-2.33,0.33,-2.00,108.2,110.7,-2.5,94.8,.241,.248,.544,.510,13.3,26.7,.183,.509,14.5,69.3,.259
23,Los Angeles Clippers,-3.13,0.42,-2.71,105.3,108.7,-3.4,92.8,.332,.230,.535,.496,15.1,28.4,.234,.499,12.8,73.2,.250
24,Detroit Pistons,-3.60,-0.18,-3.78,107.7,111.7,-4.0,89.2,.279,.189,.533,.495,12.5,27.4,.206,.526,13.8,72.1,.235
